vnr,Pname,dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE,ATC
517706,"Tetracyklin ""DAK""",filmovertrukne tabletter,250 mg,24 stk.,28100753476,250,MG,24,J01AA07
517714,NovoNorm,tabletter,"0,5 mg",90 stk. (blister),28101882397,0.5,MG,90,A10BX02
517716,"Methadon ""Alternova""",tabletter,5 mg,20 stk. (blister),28104463508,5,MG,20,N07BC02
517722,"Tetracyklin ""DAK""",filmovertrukne tabletter,250 mg,40 stk.,28100753476,250,MG,40,J01AA07
517730,"Tetracyklin ""DAK""",filmovertrukne tabletter,250 mg,100 stk.,28100753476,250,MG,100,J01AA07
517755,NovoNorm,tabletter,1 mg,90 stk. (blister),28101882497,1,MG,90,A10BX02
517763,"Tetracyklin ""DAK""",filmovertrukne tabletter,333 mg,18 stk.,28100753576,333,MG,18,J01AA07
517771,"Tetracyklin ""DAK""",filmovertrukne tabletter,333 mg,24 stk.,28100753576,333,MG,24,J01AA07
517789,"Tetracyklin ""DAK""",filmovertrukne tabletter,333 mg,30 stk.,28100753576,333,MG,30,J01AA07
517797,"Tetracyklin ""DAK""",filmovertrukne tabletter,333 mg,100 stk.,28100753576,333,MG,100,J01AA07
517813,NovoNorm,tabletter,2 mg,90 stk. (blister),28101882597,2,MG,90,A10BX02
517821,"Tetrapon ""DAK""",injektionsvæske,20 mg/ml,5 amp. a 1 ml,28100753976,20,MGM,5,N02AA51
517839,Fortekor Vet.,tabletter,5 mg,140 stk. (blister),28101780395,5,MG,140,QC09AA07
517854,Bricanyl,"koncentrat til infusionsvæske, opløsning","0,5 mg/ml",10 amp x 5 ml,28101047980,0.5,MGM,50,R03CC03
517862,Detrusitol,tabletter,"0,7 mg",56 stk. (blister),28101920797,0.7,MG,56,G04BD07
517863,Alzen SR,depottabletter,50 mg,100 stk. (blister),28105312613,50,MG,100,N05AH04
517870,Detrusitol,tabletter,"0,7 mg",500 stk.,28101920797,0.7,MG,500,G04BD07
517888,Detrusitol,tabletter,"1,4 mg",56 stk. (blister),28101920897,1.4,MG,56,G04BD07
517896,Detrusitol,tabletter,"1,4 mg",500 stk.,28101920897,1.4,MG,500,G04BD07
517904,Tolazolin,tabletter,25 MG,100 stk.,28100754876,25,MG,100,C04AB02
517912,"Insulin ""Cross Cimilar"" Retard Pen","injektionsvæske, suspension",100 IE/ml,5 x 3 ml,28101868397,100,IUM,15,A10AC01
517920,"Tolbutamid ""DAK""",tabletter,500 mg,50 stk.,28100754976,500,MG,50,A10BB03
517938,"Tolbutamid ""DAK""",tabletter,500 mg,100 stk.,28100754976,500,MG,100,A10BB03
517946,"Tolbutamid ""DAK""",tabletter,500 mg,500 stk. (5x100),28100754976,500,MG,500,A10BB03
517953,"Tolbutamid ""DAK""",tabletter,500 mg,200 stk.,28100754976,500,MG,200,A10BB03
517961,Depolan,depottabletter,10 mg,30 stk. (blister),28103013398,10,MG,30,N02AA01
517979,"Tonikum ""DAK""",mikstur,,500 ml,28100755076,,,500,A13A
517980,Vargatef,"kapsler, bløde",150 mg,60 stk. (blister),28105317713,150,MG,60,L01XE
517987,Frisium,tabletter,10  mg,50 stk. (blister),28103988906,10,MG,50,N05BA09
517990,Kestine,filmovertrukne tabletter,20 mg,10 stk. (blister),28103341702,20,MG,10,R06AX22
517995,Topicin,pudder,,10 g,28100755276,,,10,D06AX04
518001,Topicin,pudder,,30 g,28100755276,,,30,D06AX04
518027,Topicin,salve,,10 ml,28100755376,,,10,D06AX04
518035,Topicin,salve,,30 ml,28100755376,,,30,D06AX04
518043,Mixtard 20/80 Pen,"injektionsvæske, suspension",100 IE/ml,5 x 3 ml,28101944597,100,IUM,15,A10AD01
518050,Mixtard 30/70 Pen,"injektionsvæske, suspension",100 IE/ml,5 x 3 ml,28101944697,100,IUM,15,A10AD01
518068,"Triamcinolon ""DAK""",creme,"0,1 %",30 ml,28100755676,0.1,PC,30,D07AB09
518076,Depolan,depottabletter,10 mg,100 stk. (blister),28103013398,10,MG,100,N02AA01
518084,"Triamcinolon ""DAK""",salve,"0,1 %",30 ml,28100755776,0.1,PC,30,D07AB09
518090,"Montelukast ""Stada""",tyggetabletter,5 mg,30 stk. (blister),28104508509,5,MG,30,R03DC03
518092,"Triamcinolon ""DAK""",salve,"0,1 %",55 ml,28100755776,0.1,PC,55,D07AB09
518100,"Triamcinolon-salicyl ""DAK""",liniment,,25 ml,28100755876,,,25,D07XB02
518118,"Triamcinolon-salicyl ""DAK""",øredråber,,25 ml,28100809478,,,25,S02CA04
518126,Trofedrin,tabletter,,100 stk.,28100808677,,,100,R03DB04
518142,Tarivid,filmovertrukne tabletter,200 mg,20 stk. (blister),28103760004,200,MG,20,J01MA01
518149,"Ziprasidone ""Sandoz""","kapsler, hårde",60 mg,56 stk. (blister),28104909711,,,56,N05AE04
518159,"Vaselin Steriliseret ""DAK""",salve,,55 ml,28100781776,,,55,D02AC
518183,Trileptal,filmovertrukne tabletter,300 mg,100 stk. (blister),28104638210,300,MG,100,N03AF02
518209,Trileptal,filmovertrukne tabletter,600 mg,100 stk. (blister),28104638310,600,MG,100,N03AF02
518217,"Vepicombin ""DAK""",tabletter,300.000 IE,100 stk.,28100756376,300000,IU,100,J01CE02
518241,Modifenac,kapsler med modificeret udløsning,75 mg,20 stk. (blister),28101860996,75,MG,20,M01AB05
518258,Modifenac,kapsler med modificeret udløsning,75 mg,100 stk. (blister),28101860996,75,MG,100,M01AB05
518264,"Rivastigmine ""Actavis""","kapsler, hårde","1,5 mg",56 stk. (blister),28104709310,1.5,MG,56,N06DA03
518274,"Vepicombin ""DAK""",tabletter,500.000 IE,100 stk.,28100756476,500000,IU,100,J01CE02
518289,Vagifem,vaginaltabletter,10 mikrogram,18 stk. (blister),28105287913,10,RG,18,G03CA03
518293,"Montelukast ""Bluefish""",tyggetabletter,4 mg,98 stk. (blister),28104468409,4,MG,98,R03DC03
518301,Tramium,"depotkapsler, hårde",150 mg,100 stk. (blister),28105077112,150,MG,100,N02AX02
518324,"Vepicombin ""DAK""",tabletter,1 Mill. IE,100 stk.,28101375989,1,MIU,100,J01CE02
518332,Cerazette,filmovertrukne tabletter,75 mikrogram,3 x 28 stk. (blister),28103007098,75,RG,84,G03AC09
518340,"Vepicombin ""DAK""",mikstur,30.000 IE/ml,100 ml,28100756676,30000,IUM,100,J01CE02
518365,"Vepicombin ""DAK""",mikstur,30.000 IE/ml,200 ml,28100756676,30000,IUM,200,J01CE02
518373,"Vismut ""DAK""",mikstur,35 mg/ml,100 ml,28100756776,35,MGM,100,A07BB
518374,Tobi,"inhalationsvæske til nebulisator, opløsning",300 mg/5 ml,56 x 5 ml,28104809510,60,MGM,280,J01GB01
518381,"Vismut ""DAK""",mikstur,35 mg/ml,200 ml,28100756776,35,MGM,200,A07BB
518399,"Vismut ""DAK""",mikstur,35 mg/ml,1000 ml,28100756776,35,MGM,1000,A07BB
518431,Withs,tabletter,,100 stk.,28100757176,,,100,A06AB30
518449,One-Alpha,kapsler,1 mikg,30 stk. (blister),28101765595,1,RG,30,A11CC03
518506,Virigen,tabletter,5 mg,100 stk.,28100797877,5,MG,100,G04BE04
518511,Dixarit,overtrukne tabletter,25 mikg,100 stk. (Blister),28104923011,25,RG,100,N02CX02
518530,"Zink ""ERA""",liniment,"12,5 %",100 ml,28100757276,12.5,PC,100,D02AB
518534,Tresiba 100 Penfill,"injektionsvæske, opløsning, cylinderampul",100 UML,5 x 3 ml,28104960311,100,UML,15,A10AE06
518545,Sertrone,filmovertrukne tabletter,25 mg,100 stk. (blister),28103850205,25,MG,100,N06AB06
518555,"Zink ""DAK""",pasta,40 %,50 ml,28100757776,40,PC,50,D02AB
518563,"Zink ""DAK""",salve,10 %,30 ml,28100757876,10,PC,30,D02AB
518571,"Zink Blød ""DAK""",pasta,30 %,30 ml,28100757676,30,PC,30,D02AB
518597,"Zink Farvet Normal ""DAK""",liniment,"12,5 %",100 ml,28100757576,12.5,PC,100,D02AB
518605,"Zink Farvet Normal ""DAK""",pasta,40 %,50 ml,28100782576,40,PC,50,D02AB
518621,"Zink-lanolin-vaselin ""DAK""",salve,,30 ml,28100758176,,,30,D02AB
518639,"Zink-lanolin-vaselin ""DAK""",salve,,50 ml,28100758176,,,50,D02AB
518647,Ætussin,mikstur,,200 ml,28100758376,,,200,R05FA02
518654,Ætylmorfin,saft,4 MG/ML,100 ml,28100758476,4,MGM,100,R05DA01
518660,PegIntron,"pulver og solvens til injektionsvæske, opløsning","80 mikrogram/0,5 ml",4 penne+4 kanyler + 8 serv.,28103080099,,,4,L03AB10
518662,Ætylmorfin,tabletter,25 MG,25 stk.,28100758576,25,MG,25,R05DA01
518670,"Øjensalve Neutral ""Ophtha""",øjensalve,200 mg/g,5 ml,28100758676,200,MGG,5,S01XA20
518684,Tobi Podhaler,"inhalationspulver, hård kapsel",28 mg,224  stk. (blister) (Orifarm),28104636810,28,MG,224,J01GB01
518696,One-Alpha,kapsler,1 mikg,100 stk. (blister),28101765595,1,RG,100,A11CC03
518704,"Østradiol ""DAK""",suppositorier,5 mg,7 stk.,28100758876,5,MG,7,G03CA03
518720,"Østradiol ""DLF""",filmovertrukne tabletter,2 mg,100 stk.,28100798077,2,MG,100,G03CA03
518746,"Østradiol ""DAK""",tabletter,5 mg,100 stk.,28100798177,5,MG,100,G03CA03
518750,"Esomeprazol ""Actavis""",enterotabletter,20 mg,28 stk. (blister),28104967911,20,MG,28,A02BC05
518777,Sirturo,tabletter,100 mg,188 stk.,28105172412,100,MG,188,J04AK05
518779,"Østradiol-østriol ""DAK""",tabletter,2 mg - 1 mg,100 stk.,28100798277,2,MG,100,G03CA53
518803,"Østradiol-østriol ""DAK""",tabletter,4 mg - 2 mg,100 stk.,28100820078,4,MG,100,G03CA53
518837,Depolan,depottabletter,30 mg,30 stk. (blister),28103013498,30,MG,30,N02AA01
518845,"Aluminiumklorid ""DAK""","liniment, spritholdig",25 %,30 ml,28100824179,25,PC,30,D11AA
518886,"Amoxicillin ""Mylan""",filmovertrukne tabletter,750 mg,14 stk.,28101689794,750,MG,14,J01CA04
518894,"Amoxicillin ""Mylan""",filmovertrukne tabletter,750 mg,20 stk.,28101689794,750,MG,20,J01CA04
518897,Trajenta,filmovertrukne tabletter,5 mg,90 stk. (blister),28104740710,5,MG,90,A10BH05
518898,Havrix,"injektionsvæske, suspension",1440 EU/ml,1 ml,28105148712,,,1,J07BC02
518910,"Fluor ""DAK""",sugetabletter,"0,55 MG",250 stk.,28100825579,0.55,MG,250,A01AA01
518944,"Heparin Ukonserveret ""DAK""",injektionsvæske,2 I.E./ML,5 htgl. a 50 ml,28100806377,2,IUM,250,B01AB01
518948,Movicol Junior Neutral,pulver til oral opløsning,,30 stk.,28104938110,,,30,A06AD65
518969,"Heparin Ukonserveret ""DAK""",injektionsvæske,100 IE/ML,10 htgl. a 10 ml,28100842382,,,100,B01AB01
518977,Rebif,"injektionsvæske, opløsning","22 mikg/0,5 ml","12 x 0,5 ml fyldt inj.spr.",28101839896,44,RGM,6,L03AB07
519017,"Heparin Ukonserveret ""DAK""",injektionsvæske,1000 I.E./ML,10 amp. a 1 ml,28100807077,1000,IUM,10,B01AB01
519033,Serenase,"injektionsvæske, opløsning",5 mg/ml,5 amp. a 1 ml,28100966159,5,MGM,5,N05AD01
519046,"Olanzapin ""Lilly""",overtrukne tabletter,"2,5 mg",28 stk. (blister),28104732110,2.5,MG,28,N05AH03
519072,"Escitalopram ""Accord""",filmovertrukne tabletter,10 mg,28 stk. (blister),28104746710,10,MG,28,N06AB10
519074,Depolan,depottabletter,30 mg,100 stk. (blister),28103013498,30,MG,100,N02AA01
519079,Midaspot,"spot-on, opløsning",80 mg,"4 x 0,8 ml",28105162612,80,MG,3.2,QP53AX17
519082,"Heparin ""DAK""",injektionsvæske,5000 I.E./ML,5 htgl. a 10 ml,28100807277,5000,IUM,50,B01AB01
519096,"Escitalopram ""STADA""",filmovertrukne tabletter,10 mg,100 stk. (blister),28104301508,10,MG,100,N06AB10
519108,"Heparin Ukonserveret ""DAK""",injektionsvæske,25.000 I.E./ML,10 amp. a 1 ml,28100807477,25000,IUM,10,B01AB01
519157,"Hydreringsvæske ""DAK""",infusionsvæske,,10 fl. a 1000 ml,28100825779,,,10000,B05BB01
519207,"Kinin ""DAK""",tabletter,250 mg,50 stk.,28100722976,250,MG,50,P01BC01
519215,Kloral-morfin,syrup,,300 ml,28100811378,,,300,N02AA51
519231,Kloramfenikol-hydrokortison,creme,,30 ml,28100826079,,,30,D07CA01
519249,"Captopril ""Sandoz""",tabletter,"12,5 mg",30 stk. (blister),28103068699,12.5,MG,30,C09AA01
519256,"Kloramin Isotonisk ""DAK""",opløsning til desinfektion,"0,2%",700 ml,28100821578,0.2,PC,700,D08AX
519264,"Kloramin Isotonisk ""DAK""",opløsning til desinfektion,"0,2%",10x700 ml,28100821578,0.2,PC,7000,D08AX
519272,"Klorhexidin ""Galderma""",opløsning til desinfektion,"0,2%",25 ml,28100826479,0.2,PC,25,D08AC02
519280,"Benzokain-salol ""Medic""",kutansuspension,20 + 40 mg/g,100 ml,28100706676,,,100,D04AB04
519298,Klorhexidin Farvet,opløsning til desinfektion,"0,2%",25 ml,28100826379,0.2,PC,25,D08AC02
519299,Timosan Depot,øjengel,1 mg/g,5 g,28105196312,1,MGG,5,S01ED01
519306,"Klorhexidin ""Galderma""",mundskyllevæske,"0,2%",250 ml,28101376289,0.2,PC,250,A01AB03
519311,Maxidex,"øjendråber, suspension",1 mg/ml,2 x 3 ml,28105223813,1,MGM,6,S01BA01
519314,"Klorhexidin ""Galderma""",mundskyllevæske,"0,2%",500 ml,28101376289,0.2,PC,500,A01AB03
519348,Cipax,tabletter,20 mg,14 stk. (blister),28101875997,20,MG,14,N06AB04
519350,Pancillin,filmovertrukne tabletter,500.000 IE,20 stk. (blister),28101524792,500000,IU,20,J01CE02
519355,Cipax,tabletter,20 mg,28 stk. (blister),28101875997,20,MG,28,N06AB04
519363,Cipax,tabletter,20 mg,56 stk. (blister),28101875997,20,MG,56,N06AB04
519367,Iomeron,"injektionsvæske, opløsning",150 mg Iod/ml,10 x 100 ml,28101556893,150,MJM,1000,V08AB10
519371,"Magnyl ""DAK""",enterotabletter,100 mg,100 stk.,28101376189,100,MG,100,B01AC06
519397,Natriumklorid,infusionskoncentrat,"3,42 MMOL/ML",10 htgl. a 20 ml.,28100828179,,,200,B05XA03
519441,Medikinet CR,"kapsler med modificeret udløsning, hårde",10 mg,30 stk. (blister),28105034812,10,MG,30,N06BA04
519450,Furix,"injektionsvæske, opløsning",10 mg/ml,5 x 25 ml,28101005078,10,MGM,125,C03CA01
519462,Norsk Mikstur,mikstur,,300 ml.,28100740876,,,300,A07BB
519470,Norsk Mikstur,mikstur,,500 ml.,28100740876,,,500,A07BB
519504,"Podofyllin ""DAK""",liniment,25%,10 ml,28100743976,25,PC,10,D11AF
519510,Calcichew-D3 Forte Flex,filmovertrukne tabletter,500 mg+10 mikrogram,100 stk.,28104491109,,,100,A12AX
519512,Nexplanon,implantat,68 mg,1 stk. (blister),28104899611,68,MG,1,G03AC08
519553,"Prometazin ""DAK""",mikstur,"1,4 MG/ML",100 ml.,28100828879,1.4,MGM,100,R06AD02
519561,Rutin,tabletter,20 MG,100 stk.,28100747376,20,MG,100,C05CA01
519588,AirFluSal Forspiro,"inhalationspulver, afdelt",50+500 mikrogram,180 doser (3 x 60),28105213913,0,,180,R03AK06
519629,Syntetisk Spyt,mundskyllevæske,,250 ml.,28100829879,,,250,A01AD11
519637,Syv Slags Olie,liniment,,100 ml,28100802977,,,100,M02AX10
519652,"Tetracyklin ""DAK""",tabletter,167 MG,24 stk.,28100753376,167,MG,24,J01AA07
519665,Supradox,pulver til anvendelse i drikkevand,500 mg/g,1 kg,28104873811,500,MGG,1,QJ01AA02
519686,Tolazolin,salve,10%,30 ml,28100754776,10,PC,30,M02AX02
519690,"Metadon ""DAK""",oral opløsning,1 mg/ml,10 ml,28100789776,1,MGM,10,N07BC02
519694,Vismut-opium Vet.,mikstur,,200 g,28100781876,,,200,Q01GA10
519702,"Zink ""DAK""",pudder,10 %,100 g strøds.,28100782676,10,PC,100,D02AB
519710,"Nitrit ""DAK""",inhalationsvæske,225 mg,8 rør,28100775776,225,MG,8,V03AB22
519714,"Sumatriptan ""Aurobindo""",tabletter,100 mg,12 stk. (blister),28104060307,100,MG,12,N02CC01
519728,"Carbamid ""DAK""",badeadditiv,"2,5%",10x1000 ml,28100794777,2.5,PC,10000,D02AE01
519752,Temgesic,"injektionsvæske, opløsning","0,3 mg/ml",5 x 1 ml,28100992678,0.3,MGM,5,N02AE01
519793,"Magnesia ""DAK""",tabletter,500 mg,1000 stk. (10x100),28100731276,500,MG,1000,A02AA04
519794,Singulair,tyggetabletter,4 mg,28 stk. (blister),28104671810,4,MG,28,R03DC03
519800,"Desogestrel/ethinylestradiol ""Actavis""",tabletter,150+20 mikrog,3 x 21 stk. (blister),28104743810,,,63,G03AA09
519801,Metamizol Vet.,injektionsvæske,500 MG/ML,1 htgl. a 50 ml,28100774776,500,MGM,50,Q08BB03
519819,Hyalgan,"injektionsvæske, opløsning, fyldt injektionssprøjte","10,3 mg/ml",1 x 2 ml,28101858096,10.3,MGM,2,M09AX01
519827,Extraneal,peritonealdialysevæske,75 mg/ml,5 x 2000 ml b5268v duo,28101876197,75,MGM,10000,B05DA
519835,"Pectyl Stærke Brystdråber ""DAK""",oral opløsning,"2,7+1,8 mg/ml",100 ml,28100716476,,,100,R05FA02
519882,Sycrest,"resoribletter, sublinguale",5 mg,60 stk. (blister) (New Neopharm B.V.),28104530509,5,MG,60,N05AH05
519900,"Efedrin ""DAK""",næsespray,5 MG/ML,1 spray a 25 ml,28100865985,5,MGM,25,R01AA03
519913,Glepark,tabletter,"0,18 mg",100 stk. (blister),28104289408,0.18,MG,100,N04BC05
519914,"Losartan/Hydrochlorothiazide ""Teva""",filmovertrukne tabletter,"100+12,5 mg",30 stk. (blister),28104618109,,,30,C09DA01
519920,Toltarox,oral suspension,50 mg/ml,250 ml,28104548309,50,MGM,250,QP51AJ01
519942,Ibaril med Salicylsyre,kutanopløsning,,15 ml plastfl.,28101088181,,,15,D07XC02
519971,Fuciderm,gel,1 + 5 mg/g,15 g,28105469514,0,,15,QD07CC01
520015,"Opium ""PS""","orale dråber, opløsning",100 mg/g,300 ml,28100741476,100,MGG,300,A07DA02
520023,"Vaselin Steriliseret ""DAK""",salve,,10 ml,28100781776,,,10,D02AC
520031,Vismut-opium Vet.,mikstur,,1000 ml,28100781876,,,1000,Q01GA10
520049,Brufen,oral suspension,20 mg/ml,200 ml,28101080081,20,MGM,200,M01AE01
520056,Depolan,depottabletter,60 mg,30 stk. (blister),28103013598,60,MG,30,N02AA01
520064,Depolan,depottabletter,60 mg,100 stk. (blister),28103013598,60,MG,100,N02AA01
520070,Ibumax,filmovertrukne tabletter,600 mg,50 stk.,28104658010,600,MG,50,M01AE01
520122,Bexopron,tabletter,600 MG,30 stk.,28101052780,600,MG,30,M01AE06
520156,Eliquis,filmovertrukne tabletter,"2,5 mg",168 stk. (blister) (Paranova),28104682910,2.5,MG,168,B01AF02
520165,"Carvedilol ""Aurobindo""",filmovertrukne tabletter,25 mg,100 stk. (blister),28105005511,25,MG,100,C07AG02
520181,Lincocin Vet. ChemVet,pulver til opløsning i drikkevand,400 mg/g,"1,5 kg",28104705210,400,MGG,,QJ01FF02
520205,"Aktivt Kul ""Norit""","kapsler, hårde",200 mg,30 stk.,28101821496,200,MG,30,A07BA01
520231,Invega,depottabletter,9 mg,28 stk. (blister) (Paranova),28103944106,9,MG,28,N05AX13
520239,Viagra,filmovertrukne tabletter,25 mg,4 stk. (blister),28101906997,25,MG,4,G04BE03
520247,Viagra,filmovertrukne tabletter,25 mg,12 stk. (blister),28101906997,25,MG,12,G04BE03
520262,Lincocin Vet.,"injektionsvæske, opløsning",100 mg/ml,50 ml,28100652874,100,MGM,50,QJ01FF52
520285,Innohep,"injektionsvæske, opløsning, fyldt injektionssprøjte",20.000 anti-Xa IE/ml,"6 x 0,9 ml",28105193512,20000,XAM,1,B01AB10
520288,Viagra,filmovertrukne tabletter,50 mg,4 stk. (blister),28101907097,50,MG,4,G04BE03
520304,Emtryl Vet.,"pulver, uopløseligt","22,5 %",20 kg,28100995667,22.5,PC,20,QP51AA07
520314,Symbicort Forte Turbuhaler,inhalationspulver,9+320 mikrog./dosis,180 doser (3 x 60),28105186812,,,180,R03AK07
520338,Viagra,filmovertrukne tabletter,50 mg,12 stk. (blister),28101907097,50,MG,12,G04BE03
520346,Viagra,filmovertrukne tabletter,100 mg,4 stk. (blister),28101907197,100,MG,4,G04BE03
520353,Ery-maxin,enterokapsler,250 mg,40 stk.,28101037279,250,MG,40,J01FA01
520361,Depolan,depottabletter,100 mg,30 stk. (blister),28103013698,100,MG,30,N02AA01
520379,Viagra,filmovertrukne tabletter,100 mg,12 stk. (blister),28101907197,100,MG,12,G04BE03
520411,Cinopal,kapsler,300 mg,30 stk.,28100925177,300,MG,30,M01AE05
520437,Pinex,filmovertrukne tabletter,500 mg,10 x 200 stk.,28101050280,500,MG,2000,N02BE01
520516,"Pramipexole ""Sandoz""",depottabletter,"0,52 mg",10 stk. (blister),28105297113,0.52,MG,10,N04BC05
520541,"Citalopram ""Vitabalans""",filmovertrukne tabletter,40 mg,30 stk. (blister),28104608509,40,MG,30,N06AB04
520547,Zypadhera,"pulver og solvens til depotinjektionsvæske, suspension",405 mg,1 sæt (COPHARMA),28104189907,405,MG,1,N05AH03
520572,Inspra,filmovertrukne tabletter,50 mg,100 stk. (blister),28104704510,50,MG,100,C03DA04
520576,Oestring,vaginalindlæg,"7,5 mikrog./24 timer",1 stk.,28105424314,7.5,RGH,1,G03CA03
520621,Flunimeg,granulat,250 mg,10 x 250 mg,28104733410,250,MG,2500,QM01AG90
520736,"Metadon ""Evolan""",oral opløsning,1 mg/ml,100 ml,28103792205,1,MGM,100,N07BC02
520742,NovoNorm,tabletter,1 mg,30 stk. (blister),28101882497,1,MG,30,A10BX02
520767,NovoNorm,tabletter,2 mg,30 stk. (blister),28101882597,2,MG,30,A10BX02
520775,Orfiril,enterotabletter,300 mg,250 stk.,28100991878,300,MG,250,N03AG01
520782,Actiq,sugetabletter,200 mikrogram,30 stk. (blister),28103231701,200,RG,30,N02AB03
520783,Urografin-meglumin,"injektionsvæske, opløsning",65%,10 fl. a 50 ml,28100538968,65,PC,500,V08AA01
520789,"Atropin ""Stragen""","injektionsvæske, opløsning, fyldt injektionssprøjte","0,1 mg/ml",10 stk.,28104888411,0.1,MGM,10,A03BA01
520841,Viazem,depotkapsler,120 mg,30 stk. (blister),28101867896,120,MG,30,C08DB01
520858,Viazem,depotkapsler,120 mg,60 stk. (blister),28101867896,120,MG,60,C08DB01
520866,Viazem,depotkapsler,180 mg,30 stk. (blister),28101867996,180,MG,30,C08DB01
520874,"Nitroglycerin ""DAK""","resoribletter, sublinguale","0,25 mg",25 stk.,28100740376,0.25,MG,25,C01DA02
520882,"Nitroglycerin ""DAK""","resoribletter, sublinguale","0,5 mg",25 stk.,28100740476,0.5,MG,25,C01DA02
520890,Viazem,depotkapsler,180 mg,60 stk. (blister),28101867996,180,MG,60,C08DB01
520908,Viazem,depotkapsler,240 mg,30 stk. (blister),28101868096,240,MG,30,C08DB01
520916,Viazem,depotkapsler,240 mg,60 stk. (blister),28101868096,240,MG,60,C08DB01
520924,Viazem,depotkapsler,300 mg,30 stk. (blister),28101868196,300,MG,30,C08DB01
520932,Depolan,depottabletter,100 mg,100 stk. (blister),28103013698,100,MG,100,N02AA01
520940,Viazem,depotkapsler,300 mg,60 stk. (blister),28101868196,300,MG,60,C08DB01
520949,Matrifen,depotplastre,75 mikrogram/time,16 stk.,28103902806,75,RGT,16,N02AB03
520955,"Oxycodone ""Sandoz""",depottabletter,10 mg,50 stk. (blister),28104183607,10,MG,50,N02AA05
520956,"Pantoprazol ""Actavis""","pulver til injektionsvæske, opløsning",40 mg,5 stk.,28104314108,40,MG,5,A02BC02
520957,Viazem,depotkapsler,360 mg,30 stk. (blister),28101868296,360,MG,30,C08DB01
520965,Viazem,depotkapsler,360 mg,60 stk. (blister),28101868296,360,MG,60,C08DB01
520981,"Nystatin ""Cross Pharma""",mikstur,100.000 IE/ml,60 ml,28101921297,100000,IUM,60,A07AA02
520999,Sabrilex,tabletter,500 mg,100 stk. (blister),28101890297,500,MG,100,N03AG04
521005,Zestoretic,tabletter,,28 stk. (blister),28101922497,,,28,C09BA03
521013,Zestoretic,tabletter,,98 stk. (blister),28101922497,,,98,C09BA03
521030,"Desloratadine ""Sandoz""",oral opløsning,"0,5 mg/ml",120 ml,28104833011,0.5,MGM,120,R06AX27
521104,Zeclar,tabletter,500 mg,15 stk. (blister),28101792395,500,MG,15,J01FA09
521112,"Viskøse Øjendråber ""Ophtha""",øjendråber,,10 ml,28100830279,,,10,S01XA20
521118,Desmomelt,smeltetabletter,240 mikg,30 stk. (blister),28104877211,240,RG,30,H01BA02
521120,"Viskøse Øjendråber ""Ophtha""",øjendråber,,30 ml,28100830279,,,30,S01XA20
521138,Topicin,øjendråber,,10 ml,28100755476,,,10,S01AA03
521146,Zeclar,tabletter,250 mg,15 stk. (blister),28101758895,250,MG,15,J01FA09
521153,"Teofylamin ""DAK""",suppositorier,60 mg,10 stk.,28100836280,60,MG,10,R03DA05
521155,Eligard,"pulver og solvens til injektionsvæske, opløsning",45 mg,1 sæt,28104697810,45,MG,1,L02AE02
521161,Cordarone,tabletter,200 mg,60 stk. (blister),28101426791,200,MG,60,C01BD01
521172,Crestor,filmovertrukne tabletter,5 mg,100 stk. (blister),28104846611,5,MG,100,C10AA07
521173,"Enalapril ""Teva""",tabletter,10 mg,100 stk. (blister),28105061812,10,MG,100,C09AA02
521177,Arkolamyl,smeltetabletter,15 mg,28 stk. (blister),28104381108,15,MG,28,N05AH03
521179,Sorbitol-eddikesyre,skyllevæske,,1 plastfl. a 1100 ml,28100819678,,,1100,B05CX10
521187,Sorbitol-eddikesyre,skyllevæske,,10 plastfl. a 1100 ml,28100819678,,,11000,B05CX10
521195,Apresolin,overtrukne tabletter,25 mg,84 stk.,28101588994,25,MG,84,C02DB02
521203,Sifrol,tabletter,"0,7 mg",100 stk. (blister),28101825996,0.7,MG,100,N04BC05
521211,Rotenon Vet.,liniment,5 %,60 ml,28100777776,5,PC,60,Q09CB04
521229,Nobligan,opløselige tabletter,50 mg,20 stk. (blister),28101940397,50,MG,20,N02AX02
521237,Nobligan,opløselige tabletter,50 mg,100 stk. (blister),28101940397,50,MG,100,N02AX02
521245,"Prednisolon ""DAK""",øjendråber,"0,01%",5 ml,28100744376,0.01,PC,5,S01BA04
521252,Imoclone,filmovertrukne tabletter,"7,5 mg",10 stk. (blister),28101957697,7.5,MG,10,N05CF01
521260,Imoclone,filmovertrukne tabletter,"7,5 mg",30 stk. (blister),28101957697,7.5,MG,30,N05CF01
521278,Imoclone,filmovertrukne tabletter,"7,5 mg",100 stk.,28101957697,7.5,MG,100,N05CF01
521286,Nitrofurazon,øjendråber,"0,015%",10 ml,28100740176,0.015,PC,10,S01AX04
521301,"Metronidazol ""DAK""",filmovertrukne tabletter,500 mg,100 stk.,28101208785,500,MG,100,P01AB01
521328,Lindegårds Øredråber Vet.,øredråber,,25 ml,28100835780,,,25,Q11A
521361,Dolol,"kapsler, hårde",50 mg,5 x 50 stk. (blister),28101809996,50,MG,250,N02AX02
521369,"Lidokain ""DAK""",gel,4%,Tube a 5 ml,28100835580,4,PC,5,D04AB01
521377,"Lidokain ""DAK""",gel,4%,10 tuber a 5 ml,28100835580,4,PC,50,D04AB01
