vnr,Pname,Product name (EN),dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE
403533,Doltard,Doltard,depottabletter,10 mg,100 stk.,28101380189,"10,000",MG,"100,000"
403550,Lomir Retard,Lomir Retard,"depotkapsler, hÃ¥rde","2,5 mg",100 stk.,28101403490,"2,500",MG,"100,000"
403568,Vogalene,Vogalene,tabletter,5 mg,100 stk.,28101290187,"5,000",MG,"100,000"
403581,"Ropivacain ""Fresenius Kabi""","Ropivacain ""Fresenius Kabi""","injektionsvÃ¦ske, oplÃ¸sning",2 mg/ml,5 x 20 ml,28104500709,"2,000",MGM,"100,000"
403618,Vogalene,Vogalene,tabletter,5 mg,10x100 stk.,28101290187,"5,000",MG,"1,000,000"
403636,"Olanzapin ""Orifarm""","Olanzapine ""Orifarm""",filmovertrukne tabletter,20 mg,28 stk. (blister),28104497909,"20,000",MG,"28,000"
403733,Alexan,Alexan,injektionsvÃ¦ske,20 mg/ml,10 htgl. a 2 ml,28100601071,"20,000",MGM,"20,000"
403786,Calcium-Sandoz,Calcium Sandoz,brusetabletter,500 mg,100 stk. (5 x 20),28101731394,"500,000",MG,"100,000"
403802,Fragmin,Fragmin,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",12.500 anti-Xa IE/ml,"25 x 0,2 ml",28105091712,"12,500,000",XAM,"1,000"
403808,Covinan Vet.,Covinan Vet.,"injektionsvÃ¦ske, suspension",100 mg/ml,5 x 10 ml,28101006879,"100,000",MGM,"50,000"
403816,Lincomix Vet.,Lincomix Vet.,oralt pulver,44 mg/g,5 kg,28101085081,"44,000",MGG,"5,000"
403824,Dura Se Vet.,Dura See Vet.,depotbolus,360 MG,1 x 12 bolus,28101397590,"360,000",MG,"12,000"
403865,Fansidar,Fansidar,tabletter,,3 stk,28101024279,,,"3,000"
403873,Topilar,Topilar,creme,"0,25 MG/G",Tube a 30 g,28100592571,0.250,MGG,"30,000"
403881,Topilar,Topilar,creme,"0,25 MG/G",Tube a 100 g,28100592571,0.250,MGG,"100,000"
403902,TOVIAZ,TOVIAZ,depottabletter,4 mg,84 stk. (blister) (Abacus),28103924506,"4,000",MG,"84,000"
403907,Topilar,Topilar,creme,"0,25 MG/G",Tube a 15 g,28100592571,0.250,MGG,"15,000"
403915,Lomudal,Lomudal,"Ã¸jendrÃ¥ber, oplÃ¸sning",20 mg/ml,"13,5 ml",28100924177,"20,000",MGM,"13,500"
403923,Minirin,Minirin,"nÃ¦sedrÃ¥ber, oplÃ¸sning","0,1 mg/ml",NÃ¦sespray 5 ml,28100606772,0.100,MGM,"5,000"
403929,Ibumetin,Ibumetin,filmovertrukne tabletter,600 mg,100 stk.,28101061181,"600,000",MG,"100,000"
403956,Solvezink,Solvezink,brusetabletter,45 mg,100 stk. (4x25),28100595271,"45,000",MG,"100,000"
403969,"Rizatriptan ""Orifarm""","Rizatriptan ""Orifarm""",tabletter,10 mg,6 stk. (blister),28104834210,"10,000",MG,"6,000"
403974,Flixotide,Flixotide,"inhalationsspray, suspension",125 mikrogram/dosis,120 doser (2 x 60),28105051512,"125,000",RGD,"120,000"
403980,Casodex,Casodex,filmovertrukne tabletter,50 mg,30 stk.,28103581603,"50,000",MG,"30,000"
404004,Aricept,Aricept,filmovertrukne tabletter,5 mg,28 stk.,28103696004,"5,000",MG,"28,000"
404038,Emtryl Vet.,Emtryl Vet.,"pulver, uoplÃ¸seligt",22.50%,1 kg,28100995667,"22,500",PC,"1,000"
404046,Emtryl Vet.,Emtryl Vet.,"pulver, uoplÃ¸seligt",22.50%,10 kg,28100995667,"22,500",PC,"10,000"
404053,Aricept,Aricept,filmovertrukne tabletter,5 mg,98 stk. (blister),28103696004,"5,000",MG,"98,000"
404061,Emtryl Vet.,Emtryl Vet.,"pulver, oplÃ¸seligt",40%,500 g,28100518067,"40,000",PC,"500,000"
404103,Variotin,variotin,salve,,Tube a 25 g,28100378061,,,"25,000"
404110,Viagra,Viagra,filmovertrukne tabletter,25 mg,12 stk. (blister) (Abacus),28101906997,"25,000",MG,"12,000"
404124,Triregol,Triregol,overtrukne tabletter,,63 stk. (3 x 21) (blister),28104975211,,,"63,000"
404152,Aricept,Aricept,filmovertrukne tabletter,10 mg,28 stk. (blister),28103332401,"10,000",MG,"28,000"
404160,Aricept,Aricept,filmovertrukne tabletter,10 mg,98 stk. (blister),28103332401,"10,000",MG,"98,000"
404186,Alopam,Alopam,tabletter,10 mg,250 stk.,28101202184,"10,000",MG,"250,000"
404363,"Ropinirol ""2care4""","Ropinirole ""2care4""",depottabletter,2 mg,84 stk. (blister),28104396708,"2,000",MG,"84,000"
404415,"Escitalopram ""Sandoz""","Escitalopram ""Sandoz""",filmovertrukne tabletter,5 mg,98 stk. (blister),28104696510,,,"98,000"
404426,Oftagel,Oftagel,Ã¸jengel,"2,5 mg/g",1 x 10 g,28101949797,"2,500",MGG,"10,000"
404442,Leucomax,Leucomax,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","1,67 Mill IE",1 ml + solvens (sterilt vand),28101412390,"1,670",MIU,"1,000"
404462,Abilify,Abilify,smeltetabletter,15 mg,28 stk. (blister) (COPHARMA),28103686104,"15,000",MG,"28,000"
404483,Gleptosil Vet.,Gleptosil Vet.,"injektionsvÃ¦ske, oplÃ¸sning",200 mg/ml,10 x 100 ml,28101035679,"200,000",MGM,"1,000,000"
404489,Glucose-Na-K Baxter,Glucose-Na-K Baxter,"infusionsvÃ¦ske, oplÃ¸sning",50 mg/ml,10 x 1000 ml,28104531309,"50,000",MGM,"10,000,000"
404491,Actilyse,Actilyse,"pulver og solvens til injektions- og infusionsvÃ¦ske, oplÃ¸sning",,20 mg (htgl.) + 20 ml solvens,28101415990,,,"20,000"
404533,Actilyse,Actilyse,"pulver og solvens til injektions- og infusionsvÃ¦ske, oplÃ¸sning",,50 mg (htgl.) + 50 ml solvens,28101415990,,,"50,000"
404554,"Candesartan/Hydrochlorthiazid ""Actavis""","Candesartan / Hydrochlorothiazide ""Actavis""",tabletter,"16+12,5 mg",98 stk. (blister),28104625709,0.000,,"98,000"
404555,"Cefuroxim ""MIP""","Cefuroxime ""MIP""","pulver til injektionsvÃ¦ske, oplÃ¸sning",750 mg,10 stk.,28104906211,"750,000",MG,"10,000"
404608,"Heparin ""Leo""","Heparin ""Leo""","injektionsvÃ¦ske, oplÃ¸sning",25.000 IE/ml,"50 engangssprÃ¸jter a 0,2 ml",28100161355,"25,000,000",IUM,"10,000"
404627,"Ramipril/Hydrochlorthiazid ""2care4""","Ramipril / Hydrochlorothiazide ""2care4""",tabletter,5+25 mg,30 stk. (blister),28104993811,,,"30,000"
404632,Bricanyl Turbuhaler,Bricanyl Turbuhaler,inhalationspulver,"0,5 mg/dosis",100 doser,28101759195,0.500,MGD,"100,000"
404640,"Vancomycin ""Xellia""","Vancomycin ""Xellia""","kapsler, hÃ¥rde",125 mg,28 stk.,28101666594,"125,000",MG,"28,000"
404657,Bricanyl Turbuhaler,Bricanyl Turbuhaler,inhalationspulver,"0,5 mg/dosis",200 doser,28101759195,0.500,MGD,"200,000"
404681,Noparin,Noparin,injektionsvÃ¦ske,100 I.E./ml,5 htgl. a 5 ml,28101042180,"100,000",IUM,"25,000"
404689,Spotinor,Spotinor,"spot-on, oplÃ¸sning",10 mg/ml,500 ml,28105237513,"10,000",MGM,"500,000"
404699,"Fenylbutazon ""OBA""","Phenylbutazone ""OBA""",tabletter,200 mg,50 stk.,28100713876,"200,000",MG,"50,000"
404707,Becotide,Becotide,inhalationspulver,"0,1 mg i becodisks",112 stk.(blister) + diskhaler,28101779195,0.100,MG,"112,000"
404715,Minulet,Minulet,overtrukne tabletter,75 + 30 mikrogram,21 stk.,28101292187,,,"21,000"
404723,Minulet,Minulet,overtrukne tabletter,75 + 30 mikrogram,63 stk. (3x21),28101292187,,,"63,000"
404731,Becotide,Becotide,inhalationspulver,"0,2 mg i becodisks",112 stk. (blister) + diskhaler,28101779295,0.200,MG,"112,000"
404741,Inegy,Inegy,tabletter,10 mg+40 mg,98 stk. (blister),28104656510,,,"98,000"
404756,Capiven,Capiven,filmovertrukne tabletter,450 + 50 mg,30 stk.,28101073581,,,"30,000"
404818,Hydromed,Hydromed,tabletter,25 mg,100 stk. (blister),28105027512,"25,000",MG,"100,000"
404832,Strepsils JordbÃ¦r Sukkerfri,Strepsils Strawberry Sugar Free,sugetabletter,"0,6+1,2 mg",36 stk. (blister),28104674110,0.000,,"36,000"
404848,Becotide,Becotide,inhalationspulver,"0,4mg Forte Becodisk",112 stk.(blister)+ diskhaler,28101761095,0.400,MG,"112,000"
404856,Lisinoplus,Lisinoplus,tabletter,"10+12,5 mg",100 stk. (blister),28103575203,,,"100,000"
404863,Becotide,Becotide,inhalationspulver,"0,2 mg i rotacaps",112 stk. (blister),28101779495,0.200,MG,"112,000"
404871,Sabrilex,Sabril,filmovertrukne tabletter,500 mg,100 stk.,28101370489,"500,000",MG,"100,000"
404897,Econ,econ,tabletter,,21 stk.,28100786876,,,"21,000"
404905,Econ,econ,tabletter,,63 stk. (3x21),28100786876,,,"63,000"
404909,"Cabergolin ""2care4""","Cabergoline ""2care4""",tabletter,"0,5 mg",8 stk.,28105246513,0.500,MG,"8,000"
404913,Econ,econ,tabletter,,126 stk. (6x21),28100786876,,,"126,000"
404939,Konakion Novum,Konakion Novum,"injektionsvÃ¦ske, oplÃ¸sning",10 mg/ml,5 amp. a 1 ml,28100161255,"10,000",MGM,"5,000"
404962,Abboticin,Abboticin,filmovertrukne tabletter,250 mg,100 stk.,28100157755,"250,000",MG,"100,000"
404970,Fansidar,Fansidar,tabletter,,12 stk,28101024279,,,"12,000"
404996,Abboticin,Abboticin,filmovertrukne tabletter,250 mg,40 stk.,28100157755,"250,000",MG,"40,000"
404997,Lyxumia,Lyxumia,"injektionsvÃ¦ske, oplÃ¸sning, fyldt pen",10 + 20 mikrg,1 + 1 stk.,28105219513,0.000,,"1,000"
405001,Abboticin,Abboticin,"pulver til infusionsvÃ¦ske, oplÃ¸sning",1 g,1 htgl. a 1 g,28100926053,"1,000",G,"1,000"
405084,Mixobar Oesophagus,Mixobar Oesophagus,"mikstur, suspension",1 g/ml,10 plasttuber a 500 ml,28100433163,"1,000",GML,"5,000,000"
405105,"Ziprasidon ""Stada""","Ziprasidone ""Stada""","kapsler, hÃ¥rde",80 mg,56 stk. (blister),28104862111,"80,000",MG,"56,000"
405122,Matrifen,Matrifen,depotplastre,50 mikrogram/time,8 stk.,28103902705,"50,000",RGT,"8,000"
405129,Stronghold,Stronghold,"spot-on, oplÃ¸sning",45 mg,3 stk.,28103934106,"45,000",MG,"3,000"
405142,Selo-zok,Selo-zok,depottabletter,50 mg,28 stk.,28101265486,"50,000",MG,"28,000"
405148,Minirin Melt,Minirin Melt,smeltetabletter,60 mikg,100 stk (blister),28104757810,"60,000",RG,"100,000"
405191,Imigran,Imigran,tabletter,100 mg,6 stk. (blister),28101779095,"100,000",MG,"6,000"
405209,Bricanyl Turbuhaler,Bricanyl Turbuhaler,inhalationspulver,"0,5 mg/dosis",100 doser,,,,
405217,Parvoruvax Vet.,Parvoruvax Vet.,"injektionsvÃ¦ske, suspension",,50 ml,28101496992,,,"50,000"
405233,Selo-zok,Selo-zok,depottabletter,50 mg,100 stk.,28101265486,"50,000",MG,"100,000"
405247,Aprokam,Aprokam,"pulver til injektionsvÃ¦ske, oplÃ¸sning",50 mg,10 stk.,28104894011,"50,000",MG,"10,000"
405258,Felden,Felden,kapsler,20 mg,5 x 30 stk.,28100989178,"20,000",MG,"150,000"
405264,Innohep,Innohep,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",20.000 anti-Xa IE/ml,"30 x 0,9 ml",28104904911,"20,000,000",XAM,"1,000"
405274,Triatec,Triatec,tabletter,5 mg,30 stk. (blister),28101792895,"5,000",MG,"30,000"
405308,Triatec,Triatec,tabletter,"2,5 mg",30 stk. (blister),28101789395,"2,500",MG,"30,000"
405316,Triatec,Triatec,tabletter,5 mg,100 stk. (blister),28101792895,"5,000",MG,"100,000"
405324,Temgesic,Temgesic,"resoribletter, sublinguale","0,4 mg",50 stk. (blister),28101362889,0.400,MG,"50,000"
405339,Tolucombi,Tolucombi,tabletter,80 mg/12.5 mg,98 stk. (blister),28105112712,0.000,,"98,000"
405373,Triatec,Triatec,tabletter,"2,5 mg",100 stk. (blister),28101789395,"2,500",MG,"100,000"
405381,Livostin,Livostin,Ã¸jendrÃ¥ber,"0,5 mg/ml",4 ml,28101793095,0.500,MGM,"4,000"
405413,"Glucosamin ""Aflex""","Glucosamine ""Aflex""",filmovertrukne tabletter,400 mg,270 stk.,28103490603,"400,000",MG,"270,000"
405415,Felden,Felden,dispergible tabletter,20 mg,5 x 30 stk. (blister),28101206185,"20,000",MG,"150,000"
405447,"Levetiracetam ""Arrow""","Levetiracetam ""Arrow""",filmovertrukne tabletter,500 mg,100 stk. (blister),28104760410,"500,000",MG,"100,000"
405454,Abilify,Abilify,smeltetabletter,10 mg,28 stk. (blister) (COPHARMA),28103686004,"10,000",MG,"28,000"
405456,Vostar Retard,Vostar Retard,depottabletter,100 mg,10 stk. (blister),28101492692,"100,000",MG,"10,000"
405480,Amilco Mite,Amilco Mite,tabletter,,30 stk.,28101196984,,,"30,000"
405548,Vostar Retard,Vostar Retard,depottabletter,100 mg,30 stk. (blister),28101492692,"100,000",MG,"30,000"
405555,Amilco Mite,Amilco Mite,tabletter,,100 stk.,28101196984,,,"100,000"
405571,Fontex,Prozac,"kapsler, hÃ¥rde",20 mg,100 stk.,28101197684,"20,000",MG,"100,000"
405597,Priorix,Priorix,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",,"10 x 0,5 ml",28101902397,,,"5,000"
405613,Vostar Retard,Vostar Retard,depottabletter,100 mg,100 stk. (blister),28101492692,"100,000",MG,"100,000"
405621,Fortamol,Fortamol,tabletter,"28,7 + 400 mg",20 stk. (blister),28101562093,,,"20,000"
405647,Aethoxysklerol,Aethoxysklerol,"injektionsvÃ¦ske, oplÃ¸sning",30 mg/ml,5 amp. a 2 ml,28100690576,"30,000",MGM,"10,000"
405654,Aethoxysklerol,Aethoxysklerol,"injektionsvÃ¦ske, oplÃ¸sning",30 mg/ml,1 htgl. a 30 ml,28100690576,"30,000",MGM,"30,000"
405677,Rocephalin,Rocephalin,"koncentrat til infusionsvÃ¦ske, oplÃ¸sning",2 g,1,28101172683,"2,000",G,
405680,Oncovin,oncovin,"injektionsvÃ¦ske, oplÃ¸sning",1 mg/ml,2 ml,28101107782,"1,000",MGM,"2,000"
405702,"Formoterol ""Medical Valley""","Formoterol ""Medical Valley""","inhalationspulver, hÃ¥rd kapsel",12 mikrogram,120 stk. (blister),28103375702,"12,000",RG,"120,000"
405708,"Fentanyl ""Orion""","Fentanyl ""Orion""",depotplastre,50 mikrogram/time,4 stk.,28104388208,"50,000",RGT,"4,000"
405711,"Venlafaxin ""2care4""","Venlafaxine ""2care4""","depotkapsler, hÃ¥rde",75 mg,100 stk. (blister),28105216313,"75,000",MG,"100,000"
405712,Fortamol,Fortamol,tabletter,"28,7 + 400 mg",100 stk. (blister),28101562093,,,"100,000"
405735,"Pramipexole ""Accord""","Pramipexole ""Accord""",tabletter,"0,088 mg",30 stk. (blister),28104814010,0.088,MG,"30,000"
405746,Primperan,Primperan,infusionskoncentrat,100 mg/ml,10 amp. a 1 ml,28101173283,"100,000",MGM,"10,000"
405803,Platinol,Platinol,infusionskoncentrat,1 mg/ml,50 ml,28101543893,"1,000",MGM,"50,000"
405811,Macrodex 60 mg/ml med Glukos/promiten,"Macrodex 60 mg / ml with glukos / Promit, Promiten",infusions-injektionssÃ¦t,,10 glfl.a 500ml+10 htgl a 20ml,28101174783,,,"10,000"
405823,Atozet,Atozet,filmovertrukne tabletter,10+80 mg,90 stk. (blister),28105329113,0.000,,"90,000"
405847,TOVIAZ,TOVIAZ,depottabletter,4 mg,84 stk. (blister) (Paranova),28103924506,"4,000",MG,"84,000"
405852,Rheomacrodex 100 mg/ml m.glukos/promiten,"Rheomacrodex 100 mg / ml m.glukos / Promit, Promiten",infusions-injektionssÃ¦t,,10 glfl.a 500ml+10 htgl.a 20ml,28101174983,,,"200,000"
405879,Preflucel,Preflucel,"injektionsvÃ¦ske, suspension, fyldt injektionssprÃ¸jte",15 mikrogram,"0,5 ml",28104786710,"15,000",RG,0.500
405894,Omnipaque,Omnipaque,"injektionsvÃ¦ske, oplÃ¸sning",300 mg jod/ml,10 x 40 ml i softpack,28101092981,"300,000",MJM,"400,000"
405937,"Morfin ""DAK""","Morphine ""DAK""",tabletter,10 mg,30 stk. (blister),28101376489,"10,000",MG,"30,000"
405951,Vetmedin Vet.,Vetmedin.,"kapsler, hÃ¥rde","2,5 mg",100 stk.,28101884297,"2,500",MG,"100,000"
405977,Emconcor,Emconcor,tabletter,10 mg,30 stk. (blister),28101743795,"10,000",MG,"30,000"
405985,Serdolect,Serdolect,filmovertrukne tabletter,12 mg,28 stk. (blister),28101831396,"12,000",MG,"28,000"
405993,Vetmedin Vet.,Vetmedin.,"kapsler, hÃ¥rde",5 mg,100 stk.,28101884397,"5,000",MG,"100,000"
405998,"Metformin ""Actavis""","Metformin ""Actavis""",filmovertrukne tabletter,1000 mg,60 stk. (blister),28104459008,"1,000,000",MG,"60,000"
406009,Conray,Conray,injektionsvÃ¦ske,400 MG JOD/ML,10 htgl. a 40 ml,28100457364,"400,000",MJM,"400,000"
406025,Omnipaque,Omnipaque,"injektionsvÃ¦ske, oplÃ¸sning",300 mg jod/ml,10 x 50 ml (softpack),28101092981,"300,000",MJM,"500,000"
406033,Serdolect,Serdolect,filmovertrukne tabletter,16 mg,28 stk. (blister),28101831496,"16,000",MG,"28,000"
406113,Sastravi,Sastravi,filmovertrukne tabletter,"75+18,75+200 mg",100 stk.,28105329613,0.000,,"100,000"
406124,Naprosyn,Naprosyn,tabletter,250 mg,25 stk.,28100635473,"250,000",MG,"25,000"
406132,Naprosyn,Naprosyn,tabletter,250 mg,50 stk.,28100635473,"250,000",MG,"50,000"
406165,Serdolect,Serdolect,filmovertrukne tabletter,20 mg,28 stk. (blister),28101831596,"20,000",MG,"28,000"
406173,Ranide Vet.,Ranide Vet.,mikstur,25 MG/ML,"Flaske a 0,9 l",28100626773,"25,000",MGM,0.900
406204,"Tolterodintartrat ""Actavis""","Tolterodine ""Actavis""","depotkapsler, hÃ¥rde",4 mg,100 stk. (blister),28104892211,"4,000",MG,"100,000"
406248,Latuda,Latuda,filmovertrukne tabletter,37 mg,28 stk. (blister),28105181112,"37,000",MG,"28,000"
406264,Platinol,Platinol,infusionskoncentrat,1 mg/ml,100 ml,28101543893,"1,000",MGM,"100,000"
406272,Naprosyn,Naprosyn,tabletter,250 mg,100 stk.,28100635473,"250,000",MG,"100,000"
406288,Phenergan,Phenergan,oral oplÃ¸sning,1 mg/ml,100 ml,28105167612,"1,000",MGM,"100,000"
406322,Serdolect,Serdolect,filmovertrukne tabletter,4 mg,100 stk.,28101831196,"4,000",MG,"100,000"
406330,Omnipaque,Omnipaque,"injektionsvÃ¦ske, oplÃ¸sning",350 mg jod/ml,10 x 40 ml (softpack),28101093081,"350,000",MJM,"400,000"
406342,Gambrosol Trio 10,Gambrosol Trio 10,peritonealdialysevÃ¦ske,,4 x 2500 ml (gemini),28103106899,,,"10,000,000"
406355,Omnipaque,Omnipaque,"injektionsvÃ¦ske, oplÃ¸sning",350 mg jod/ml,10 x 50 ml (softpack),28101093081,"350,000",MJM,"500,000"
406356,Lynparza,Lynparza,"kapsler, hÃ¥rde",50 mg,448 stk.,28105324613,"50,000",MG,"448,000"
406369,Doloproct,Doloproct,rektalcreme,,30 g,28105171212,0.000,,"30,000"
406371,Serdolect,Serdolect,filmovertrukne tabletter,12 mg,100 stk.,28101831396,"12,000",MG,"100,000"
406389,Serdolect,Serdolect,filmovertrukne tabletter,16 mg,100 stk.,28101831496,"16,000",MG,"100,000"
406397,Serdolect,Serdolect,filmovertrukne tabletter,20 mg,100 stk.,28101831596,"20,000",MG,"100,000"
406462,Serdolect,Serdolect,filmovertrukne tabletter,4 mg,30 stk. (blister),28101831196,"4,000",MG,"30,000"
406496,Ekvacillin,Ekvacillin,pulver til injektionsvÃ¦ske,1 g,5 htgl.,28100635573,"1,000",G,"5,000"
406539,"Telmisartan ""Stada""","Telmisartan ""Stada""",filmovertrukne tabletter,80 mg,98 stk. (blister),28104590809,"80,000",MG,"98,000"
406629,Optiray,Optiray,"injektions-/infusionsvÃ¦ske, oplÃ¸sning",240 mg iod/ml,10 x 100 ml,28101877397,"240,000",MGM,"1,000,000"
406678,"Sinemet 12,5/50",Sinemet 12.5 / 50,tabletter,"50 mg + 12,5 mg",100 stk.,28101297087,,,"100,000"
406684,"Sildenafil ""Teva""","Sildenafil ""Teva""",filmovertrukne tabletter,50 mg,12 stk. (blister),28104427408,"50,000",MG,"12,000"
406686,"Indometacin ""NM""","Indomethacin ""NM""",kapsler,25 mg,30 stk. (blister),28101294787,"25,000",MG,"30,000"
406736,Optiray,Optiray,"injektions-/infusionsvÃ¦ske, oplÃ¸sning",300 mg iod/ml,10 x 100 ml,28101877497,"300,000",MGM,"1,000,000"
406737,Candemox,Candemox,tabletter,32 mg,100 stk. (blister),28104133707,"32,000",MG,"100,000"
406751,Confortid,Confortid,"kapsler, hÃ¥rde",25 mg,30 stk.,28100505166,"25,000",MG,"30,000"
406777,Optiray,Optiray,"injektions-/infusionsvÃ¦ske, oplÃ¸sning",350 mg iod/ml,10 x 100 ml,28101877697,"350,000",MGM,"1,000,000"
406796,"Tamsulosinhydrochlorid ""2care4""","Tamsulosin ""2care4""",depotkapsler,"0,4 mg",90 stk. (blister),28105209613,0.400,MG,"90,000"
406801,Ekvacillin,Ekvacillin,pulver til injektionsvÃ¦ske,2 g,6 infus.fl.,28100481765,"2,000",G,"6,000"
406819,Fugacillin,Fugacillin,injektionssubstans,5 G,6 infus. fl.,28100622772,"5,000",G,
406860,"Bisoprolol ""Actavis""","Bisoprolol ""Actavis""",tabletter,"2,5 mg",30 stk. (blister),28104292908,"2,500",MG,"30,000"
406871,"Latanoprost ""Actavis""","Latanoprost ""Actavis""","Ã¸jendrÃ¥ber, oplÃ¸sning",50 mikrogram/ml,"3 x 2,5 ml",28104520909,"50,000",RGM,"7,500"
406884,Ã˜strogest,Ã˜strogest,suppositorier,,10 stk.,28100758976,,,"10,000"
406918,Benestermycin Vet.,Benestermycin Vet.,intramammÃ¦r suspension,,40 sprÃ¸jter a 5 ml,28100578370,,,"200,000"
406926,Bisolvon,Bisolvon,tabletter,8 mg,20 stk.,28100671875,"8,000",MG,"20,000"
406934,Bisolvon,Bisolvon,tabletter,8 mg,100 stk.,28100671875,"8,000",MG,"100,000"
406937,"Leuprorelin ""Sandoz""","Leuprorelin ""Sandoz""",implantat,"3,6 mg",1 stk.,28104477109,"3,600",MG,"1,000"
406967,Surgamyl,Surgamyl,tabletter,300 mg,50 stk. (blister),28101261586,"300,000",MG,"50,000"
406983,Isopaque-amin,Isopaque-amine,injektionsvÃ¦ske,200 mg jod/ml,25 htgl. a 2o ml,28100631573,"200,000",MJM,"500,000"
407004,Abilify,Abilify,tabletter,10 mg,28 stk. (blister) (Europharma),28103334201,"10,000",MG,"28,000"
407007,Calmuril,Calmuril,liniment,,100 ml,28100643774,,,"100,000"
407105,"Etodolac ""2care4""","Etodolac ""2care4""",filmovertrukne tabletter,200 mg,20 stk.,28105100712,"200,000",MG,"20,000"
407118,Symbicort Mite Turbuhaler,Symbicort Turbuhaler,inhalationspulver,"4,5+80 mikrog./dosis",120 doser,28105150512,0.000,,"120,000"
407130,Bromam,Bromam,tabletter,3 mg,20 stk.,28101432191,"3,000",MG,"20,000"
407140,Nexplanon,Nexplanon,implantat,68 mg,1 stk. (blister),28105049220,"68,000",MG,"1,000"
407148,Bromam,Bromam,tabletter,3 mg,50 stk.,28101432191,"3,000",MG,"50,000"
407165,Norfol,Norfol,"injektionsvÃ¦ske, emulsion",10 mg/ml,50 ml,28105054212,"10,000",MGM,"50,000"
407205,Ibumetin,Ibumetin,tabletter,600 mg,10 stk.,28101061181,"600,000",MG,"10,000"
407221,Furix,Furix,tabletter,40 mg,10 stk.,28100989878,"40,000",MG,"10,000"
407239,Spirix,Spirix,tabletter,50 mg,10 stk.,28101199184,"50,000",MG,"10,000"
407263,Creon,Creon,"enterokapsler, hÃ¥rde",Lipase 40.000 EP-e,100 stk.,28104831611,"40,000,000",EP,"100,000"
407267,Spiriva,Spiriva,inhalationspulver i kapsler,18 mikrogram,30 stk (+ HandiHaler),28104995211,"18,000",RG,
407288,"Piroxicam ""Mylan""","Piroxicam ""Mylan""",kapsler,10 mg,100 stk.,28101286386,"10,000",MG,"100,000"
407296,"Piroxicam ""Mylan""","Piroxicam ""Mylan""",kapsler,20 mg,10 stk. (blister),28101286486,"20,000",MG,"10,000"
407312,Spirix,Spirix,tabletter,25 mg,10 stk.,28100996278,"25,000",MG,"10,000"
407346,"Piroxicam ""Mylan""","Piroxicam ""Mylan""",kapsler,20 mg,100 stk.,28101286486,"20,000",MG,"100,000"
407358,Wilnativ,Wilate,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",1000 IE+1000 IE,10 ml,28104791610,0.000,,"10,000"
407379,Bisolvon,Bisolvon,oplÃ¸sning,2 mg/ml,125 ml,28101000966,"2,000",MGM,"125,000"
407402,"Donepezil ""Bluefish""","Donepezil ""Blue Fish""",filmovertrukne tabletter,5 mg,28 stk. (blister),28104873911,"5,000",MG,"28,000"
407403,Fungizone,Fungizone,sugetabletter,10 mg,60 stk. (blister),28100584270,"10,000",MG,"60,000"
407415,Azarga,Azarga,"Ã¸jendrÃ¥ber, suspension",10+5 mg/ml,5 ml (2care4),28104248607,,,"5,000"
407437,"Piroxicam ""Mylan""","Piroxicam ""Mylan""",kapsler,10 mg,30 stk. (blister),28101286386,"10,000",MG,"30,000"
407502,Prostigmin,Prostigmin,injektionsvÃ¦ske,"2,5 %0",5 amp. a 2 ml,28100999255,,,"10,000"
407523,Desferal,Desferal,"pulver til injektions- og infusionsvÃ¦ske, oplÃ¸sning",500 mg,10 stk.,28105067412,"500,000",MG,"10,000"
407538,Inegy,Inegy,tabletter,10 mg+40 mg,28 stk. (blister),28104656510,,,"28,000"
407619,Inderal,Inderal,filmovertrukne tabletter,160 mg,50 stk.,28100687175,"160,000",MG,"50,000"
407627,Inderal,Inderal,filmovertrukne tabletter,160 mg,250 stk.,28100687175,"160,000",MG,"250,000"
407650,Xylocain,xylocaine,"liniment, viskÃ¸s",2%,125 ml,28100946849,"2,000",PC,"125,000"
407668,Bromam,Bromam,tabletter,3 mg,100 stk.,28101432191,"3,000",MG,"100,000"
407700,Glavamin,Glamin,"infusionsvÃ¦ske, oplÃ¸sning",,500 ml,28101784995,,,"500,000"
407730,Onbrez Breezhaler,Onbrez Breezhaler,inhalationspulver i kapsler,150 mikrogram,90 stk. (blister)+inh.(Orifarm),28104452208,"150,000",RG,"90,000"
407740,"Meropenem ""Fresenius Kabi""","Meropenem ""Fresenius Kabi""","pulver til injektions- og infusionsvÃ¦ske, oplÃ¸sning",500 mg,10 x 500 mg,28104531909,"500,000",MG,"5,000,000"
407747,Translarna,Translarna,granulat til oral suspension,125 mg,30 stk.,28105211412,"125,000",MG,"30,000"
407758,Novaluzid,Novaluzid,tyggetabletter,265 mg + 195 mg,100 stk. (blister),28100999578,,,"100,000"
407767,"Piroxicam ""Mylan""","Piroxicam ""Mylan""",kapsler,20 mg,30 stk. (blister),28101286486,"20,000",MG,"30,000"
407771,Verminator,Verminator,oral emulsion,100 mg/g,5 x 100 g,28103879005,"100,000",MGG,"500,000"
